,Postal_Code,Population
419,1938,26979
420,1940,18885
421,1944,5698
422,1945,41850
423,1949,18225
424,1950,38422
425,1951,7639
426,1952,14346
427,1960,140877
428,1966,14420
429,1969,9085
430,1970,106840
431,1982,9462
432,1983,15737
433,1984,5548
434,1985,6695
435,2019,32739
436,2021,57630
437,2025,19922
438,2026,55401
439,2030,10303
440,2032,7044
441,2035,34293
442,2038,71163
443,2043,36498
444,2045,10788
445,2047,452
446,2048,53368
447,2050,68750
448,2052,12977
449,2053,27666
450,2054,21017
451,2056,21174
452,2061,28681
453,2062,56494
454,2066,26867
455,2067,39792
456,2071,3999
457,2072,31291
458,2081,49188
459,2090,32482
460,2093,16871
461,2108,8574
462,2109,5958
463,2110,4475
464,2111,8891
465,2113,11358
466,2114,26625
467,2115,45446
468,2116,10996
469,2118,55210
470,2119,69045
471,2120,25814
472,2121,53462
473,2122,36708
474,2124,84343
475,2125,84638
476,2126,43237
477,2127,62639
478,2128,47159
479,2129,35202
480,2130,56823
481,2131,63611
482,2132,32373
483,2134,54755
484,2135,52062
485,2136,47375
486,2138,60190
487,2139,19233
488,2140,37977
489,2141,31988
490,2142,3040
491,2143,65798
492,2144,29070
493,2145,38810
494,2148,133228
495,2149,74925
496,2150,40588
497,2151,138307
498,2152,30934
499,2155,94521
500,2163,1918
501,2169,97000
502,2170,44843
503,2171,20325
504,2176,43782
505,2180,15291
506,2184,43369
507,2186,61523
508,2188,38702
509,2189,37498
510,2190,42682
511,2191,20909
512,2199,3240
513,2203,0
514,2210,5275
515,2215,42113
516,2301,161102
517,2302,71676
518,2322,11511
519,2324,18364
520,2330,12973
521,2332,42689
522,2333,15370
523,2338,20385
524,2339,30231
525,2341,12843
526,2343,21305
527,2346,60766
528,2347,28909
529,2351,42154
530,2356,33206
531,2357,1407
532,2359,44491
533,2360,150464
534,2364,27516
535,2366,97
536,2367,6187
537,2368,91454
538,2370,36856
539,2375,9952
540,2379,18551
541,2382,16167
542,2420,37155
543,2421,36428
544,2445,24831
545,2446,69723
546,2451,28627
547,2452,31061
548,2453,56167
549,2457,2027
550,2458,12657
551,2459,21077
552,2460,19316
553,2461,15194
554,2462,3503
555,2464,3918
556,2465,25249
557,2466,13953
558,2467,48622
559,2468,11332
560,2472,71631
561,2474,42022
562,2476,42227
563,2478,32228
564,2481,26856
565,2482,27716
566,2492,53823
567,2493,12908
568,2494,19020
569,2532,21858
570,2534,1752
571,2535,709
572,2536,42465
573,2537,13607
574,2538,4126
575,2539,8577
576,2540,13544
577,2542,2007
578,2543,1677
579,2553,499
580,2554,21405
581,2556,4962
582,2557,11980
583,2558,4384
584,2559,2425
585,2561,1364
586,2562,5018
587,2563,11040
588,2564,866
589,2568,8406
590,2571,16393
591,2575,7155
592,2576,6402
593,2584,27
594,2601,37502
595,2630,3727
596,2631,14760
597,2632,13164
598,2633,4499
599,2635,3995
600,2637,404
601,2638,5153
602,2639,3499
603,2641,371
604,2642,2951
605,2643,40
606,2644,10716
607,2645,25652
608,2646,4413
609,2647,195
610,2648,9134
611,2649,34294
612,2650,1863
613,2651,42
614,2652,2020
615,2653,9598
616,2655,8812
617,2657,1467
618,2659,1262
619,2660,13195
620,2663,351
621,2664,24717
622,2666,2292
623,2667,6841
624,2668,7047
625,2669,471
626,2670,1599
627,2671,2775
628,2672,193
629,2673,13102
630,2675,16856
631,2702,4424
632,2703,50166
633,2713,111
634,2715,8038
635,2717,10707
636,2718,17451
637,2719,43226
638,2720,33028
639,2721,41979
640,2723,29959
641,2724,18372
642,2725,5689
643,2726,18852
644,2738,13471
645,2739,15745
646,2740,93747
647,2743,23853
648,2744,20507
649,2745,38816
650,2746,24042
651,2747,15632
652,2748,31760
653,2760,67680
654,2762,7555
655,2763,2042
656,2764,8698
657,2766,39449
658,2767,17496
659,2769,24738
660,2770,11124
661,2771,31564
662,2777,34541
663,2779,16559
664,2780,49976
665,2790,34852
666,2791,430
667,2802,1292
668,2804,7438
669,2806,42865
670,2807,2779
671,2808,6048
672,2809,25607
673,2812,1629
674,2813,8580
675,2814,7782
676,2815,616
677,2816,87583
678,2817,13679
679,2818,37353
680,2822,10802
681,2825,6300
682,2826,2083
683,2827,5858
684,2828,11881
685,2830,12172
686,2831,7468
687,2832,9881
688,2833,1643
689,2835,14167
690,2836,355
691,2837,3831
692,2838,6759
693,2839,3166
694,2840,28144
695,2841,3155
696,2842,38300
697,2852,34667
698,2857,17890
699,2858,377
700,2859,10521
701,2860,123964
702,2861,55663
703,2863,41770
704,2864,71111
705,2865,21409
706,2871,38047
707,2872,478
708,2873,280
709,2874,12277
710,2875,479
711,2876,739
712,2878,26506
713,2879,42225
714,2881,21592
715,2882,24897
716,2885,23202
717,2886,29977
718,2888,44871
719,2889,31702
720,2891,33369
721,2892,5736
722,2893,48285
723,2894,811
724,2895,49104
725,2896,20057
726,2898,4280
727,2903,18658
728,2904,62239
729,2905,66705
730,2906,72477
731,2907,71116
732,2908,74939
733,2909,110582
734,2910,35766
735,2911,25017
736,2912,3413
737,2914,47952
738,2915,26549
739,2916,12375
740,2917,21983
741,2919,77661
742,2920,26309
743,2921,20532
744,3031,30285
745,3032,10788
746,3033,10335
747,3034,4908
748,3036,7538
749,3037,10921
750,3038,91785
751,3042,16192
752,3043,4437
753,3044,4661
754,3045,23664
755,3046,5978
756,3047,1093
757,3048,9377
758,3049,16083
759,3051,29464
760,3052,21760
761,3053,50714
762,3054,68586
763,3055,39297
764,3057,5418
765,3060,60178
766,3062,68605
767,3063,18699
768,3064,15841
769,3070,12176
770,3071,11166
771,3076,23349
772,3077,27249
773,3079,60155
774,3082,4433
775,3084,3643
776,3086,4195
777,3087,36624
778,3101,4690
779,3102,34310
780,3103,82228
781,3104,49237
782,3106,28289
783,3109,26590
784,3110,36362
785,3215,453
786,3216,5837
787,3217,3070
788,3218,1529
789,3220,8895
790,3221,4262
791,3222,11523
792,3223,7670
793,3224,2721
794,3225,9828
795,3226,2291
796,3227,2444
797,3229,14025
798,3230,3479
799,3231,326
800,3233,293
801,3234,12034
802,3235,19351
803,3237,2632
804,3238,194
805,3240,2341
806,3241,1737
807,3242,2782
808,3243,2495
809,3244,17251
810,3245,3180
811,3246,33875
812,3249,7500
813,3251,4395
814,3253,6509
815,3254,10412
816,3255,4611
817,3256,6007
818,3257,12107
819,3258,5604
820,3259,774
821,3260,1779
822,3261,9815
823,3262,2114
824,3263,5032
825,3264,20501
826,3266,4567
827,3268,3290
828,3269,4691
829,3273,821
830,3275,12096
831,3276,21873
832,3278,7977
833,3279,593
834,3280,3092
835,3281,25227
836,3282,1497
837,3284,2744
838,3285,4925
839,3287,2120
840,3290,10540
